"","sex","birth","marriage","religion","income","code_job","code_region"
"386",2,1967,1,1,NA,999,1
"387",2,1992,5,1,NA,NA,1
"388",1,1995,5,1,NA,NA,1
"389",2,1967,3,2,107,951,1
"390",1,1995,5,2,92,952,1
"391",1,1996,5,2,NA,NA,1
"392",2,1953,2,1,76.8,951,1
"393",1,1978,1,1,NA,761,1
"394",2,1978,1,1,193.2,313,1
"395",2,2008,0,1,NA,NA,1
"396",2,2010,0,1,NA,NA,1
"397",1,1974,1,2,468.3,221,1
"398",2,1979,1,1,219.1,313,1
"399",2,2007,0,1,NA,NA,1
"400",2,1954,2,1,NA,NA,2
"401",1,1944,1,1,NA,NA,1
"402",2,1944,1,1,NA,NA,1
"403",1,1952,1,2,NA,NA,1
"404",2,1956,1,2,NA,NA,1
"405",2,1984,1,2,NA,NA,5
"406",1,1983,1,1,300,761,5
"407",1,2010,0,2,NA,NA,5
"408",2,2013,0,2,NA,NA,5
"409",1,1938,1,1,NA,NA,1
"410",2,1948,1,1,NA,NA,1
"411",2,1942,2,1,NA,NA,1
"412",2,1965,1,2,240,530,1
"413",2,1994,5,2,NA,521,1
"414",1,1959,1,2,NA,873,1
"415",2,1941,1,1,NA,NA,1
"416",1,1940,1,1,NA,NA,1
"417",1,1953,1,2,150,942,1
"418",2,1959,1,2,NA,952,1
"419",1,1932,1,2,NA,NA,1
"420",2,1936,1,2,NA,NA,1
"421",1,1960,1,1,166,942,1
"422",2,1963,1,1,100,951,1
"423",2,1990,5,2,NA,NA,1
"424",1,1963,1,1,NA,873,6
"425",2,1990,1,1,NA,NA,6
"426",2,2011,0,1,NA,NA,6
"427",2,2013,0,1,NA,NA,6
"428",1,1977,1,1,387.5,411,1
"429",2,1978,1,1,436.7,243,1
"430",2,1980,1,2,NA,NA,7
"431",2,2006,0,1,NA,NA,1
"432",2,1950,2,1,NA,NA,1
"433",2,1983,5,1,183.3,313,1
"434",1,2008,0,1,NA,NA,1
"435",1,1980,1,2,375,510,7
"436",1,2010,0,2,NA,NA,7
"437",1,2013,0,2,NA,NA,7
"438",1,1948,1,1,220,772,1
"439",2,1950,1,1,30,941,1
"440",2,1976,1,1,NA,NA,1
"441",1,1977,5,1,NA,NA,1
"442",1,1973,1,1,330,231,1
"443",1,2008,0,1,NA,NA,1
"444",1,1968,1,2,NA,721,1
"445",2,1966,1,2,310,721,1
"446",1,1998,0,2,NA,NA,1
"447",2,2000,0,2,NA,NA,1
"448",1,1938,1,2,NA,NA,1
"449",2,1946,1,2,150,951,1
"450",1,1970,5,2,NA,799,1
"451",1,1973,5,2,NA,NA,1
"452",1,1959,1,2,150,910,1
"453",2,1964,1,2,100,951,1
"454",2,1986,5,2,140,313,1
"455",2,1988,5,2,NA,NA,1
"456",1,1961,1,1,267,510,1
"457",2,1962,1,1,NA,NA,1
"458",2,1997,0,1,NA,NA,1
"459",1,1998,0,1,NA,NA,1
"460",1,1939,1,1,NA,942,1
"461",2,1940,1,1,NA,NA,1
"462",1,1945,1,2,NA,NA,1
"463",2,1949,1,2,NA,NA,1
"464",1,1972,1,2,185,873,1
"465",2,1972,1,2,NA,NA,1
"466",1,2000,0,2,NA,NA,1
"467",2,1979,1,2,363.3,285,1
"468",1,1978,1,2,411.7,510,1
"469",2,2010,0,2,NA,NA,1
"470",1,1973,1,2,266,254,1
"471",2,1969,1,2,408,259,1
"472",2,2007,0,1,NA,NA,1
"473",1,2010,0,1,NA,NA,1
"474",1,1936,1,1,NA,NA,1
"475",2,1946,1,1,NA,NA,1
"476",2,1977,3,1,150,313,2
"477",2,2008,0,1,NA,NA,2
"478",1,1947,1,1,150,942,2
"479",2,1949,1,1,NA,NA,2
"480",1,1973,2,1,170,743,2
"481",1,2002,0,1,NA,NA,2
"482",2,2004,0,1,NA,NA,2
"483",1,1936,2,1,NA,NA,1
"484",2,1957,3,1,162,722,1
"485",2,1987,5,1,170,399,1
"486",1,1991,5,1,NA,NA,1
"487",1,1959,3,2,NA,NA,1
"488",1,1955,1,1,70,251,1
"489",2,1960,1,1,NA,NA,1
"490",1,1989,5,1,270,753,3
"491",1,1957,3,2,NA,530,1
"492",1,1989,5,2,164.7,930,1
"493",2,1934,2,2,NA,NA,1
"494",1,1952,3,2,170,942,1
"495",1,1960,1,2,NA,999,1
"496",2,1960,1,2,NA,999,1
"497",2,1988,5,1,NA,NA,1
"498",2,1993,5,1,120,521,1
"499",1,1972,1,1,419.16,780,1
"500",2,1973,1,1,204.66,259,1
"501",1,2000,0,1,NA,NA,1
"502",2,1944,2,1,NA,NA,1
"503",2,1971,5,1,NA,281,1
"504",2,1976,1,2,433.3,312,1
"505",1,1982,5,1,233,510,1
"506",1,1973,1,2,800,235,1
"507",1,1950,1,1,NA,873,1
"508",2,1953,1,1,96,941,1
"509",1,1982,5,1,333,252,1
"510",2,1937,3,1,NA,NA,1
"511",1,1934,1,1,NA,NA,1
"512",2,1934,1,1,NA,NA,1
"513",1,1938,2,2,NA,NA,1
"514",2,1963,3,1,220,442,1
"515",2,1992,5,1,NA,NA,1
"516",2,1995,5,1,218,311,1
"517",1,1954,2,2,NA,NA,1
"518",2,1994,5,1,NA,NA,1
"519",1,1997,0,1,NA,NA,1
"520",1,1965,1,1,NA,772,1
"521",2,1969,1,1,170,930,1
"522",2,1992,5,1,NA,NA,1
